Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,FR/GM01,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
1,FR/GM02,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,FR/GM03,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,FR/GM04,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,FR/GM05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,FR/GM06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,FR/GM07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,FR/GM08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,FR/GM09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,FR/GM10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,FR/GM11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,FR/GM12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,FR/GM13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,FR/GM14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GMR15R,462.550000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
23,GMR16R,462.575000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
24,GMR17R,462.600000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
25,GMR18R,462.625000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
26,GMR19R,462.650000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
27,GMR20R,462.675000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
28,GMR21R,462.700000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
29,GMR22R,462.725000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
30,WRAR985,462.600000,+,5.000000,TSQL,107.2,107.2,023,NN,FM,5.00,,,,,,
